kepid,tce_plnt_num,pca
1296164.0,1.0,-62785809.14484312
1296721.0,1.0,-512060964.0520003
1296164.0,2.0,-270479987.47063595
1429120.0,1.0,-511885488.4309692
1297272.0,1.0,-134614152.06731224
1429653.0,1.0,-229379326.5873044
1429653.0,2.0,-553479807.698785
1431114.0,1.0,-516886265.6160934
1430590.0,2.0,-582472519.8091356
1430590.0,1.0,18984686.43017461
1431114.0,2.0,-469348165.9331638
1431501.0,1.0,-434842136.21083385
1431122.0,1.0,515082027.9796375
1431794.0,1.0,-253860695.71952933
1431794.0,2.0,-585709301.3246061
1432149.0,1.0,1045458494.8827149
1432091.0,1.0,-523985872.0818825
1432214.0,1.0,1814773737.3079429
1432214.0,2.0,-413930023.2362056
1432789.0,2.0,-225458617.09731525
1432789.0,1.0,-70445029.96414272
1433399.0,3.0,-535404004.24505544
1433399.0,4.0,-568510143.8850353
1433399.0,1.0,-137621188.0679227
1433399.0,2.0,-541502222.3283296
1433399.0,6.0,-585709912.3587289
1433899.0,1.0,-195908456.489951
1433399.0,5.0,-498691924.7596572
1433962.0,1.0,273732662.96117014
1433980.0,1.0,-585709308.6757922
1434395.0,1.0,1797843211.4229302
1434660.0,1.0,-368973455.89107513
1433980.0,2.0,-585709308.717361
1434660.0,2.0,-534126454.9952461
1434660.0,3.0,1726469314.1854036
1434660.0,5.0,1131701174.5677536
1434800.0,2.0,-384307640.45704174
1434800.0,3.0,-426856584.6019518
1434800.0,1.0,150488795.23025045
1435448.0,1.0,-518223724.02194387
1434976.0,1.0,-405638487.9905685
1570924.0,1.0,-132354807.01388495
1435448.0,2.0,-499810916.30759966
1571152.0,1.0,916186035.3090094
1570924.0,3.0,-289869776.4721603
1571152.0,2.0,1814773287.2342563
1570924.0,2.0,-437415863.37100524
1570349.0,1.0,-580493868.6030607
1435448.0,3.0,-489345087.7045252
1571717.0,2.0,-220614156.57389104
1571511.0,1.0,1814773738.4060042
1571511.0,2.0,167067456.83357275
1571717.0,1.0,-307718462.80851096
1571717.0,6.0,-553266730.0053042
1571717.0,3.0,-331319701.4762661
1571717.0,4.0,-506696441.9864891
1571717.0,5.0,-539668114.2178322
1571152.0,3.0,1421628797.6832535
1571717.0,7.0,-299541429.6276654
1572201.0,1.0,-354092078.2478931
1572114.0,3.0,-490991032.8756486
1572114.0,1.0,-512652447.9640239
1572114.0,2.0,-506395327.54536355
1573138.0,4.0,-105250835.35394144
1573138.0,2.0,-92602302.55739337
1573174.0,1.0,-581664978.5108342
1572948.0,1.0,291009549.8371235
1573094.0,1.0,-484701677.8872104
1573138.0,3.0,-483978068.4608158
1573138.0,1.0,-448792326.52871716
1575690.0,1.0,1814773739.0504014
1576115.0,1.0,307482862.64997756
1575977.0,2.0,214364027.190188
1576115.0,2.0,-473557571.58574957
1576144.0,1.0,43116883.61924149
1573174.0,3.0,55774111.98557866
1575977.0,1.0,904064615.3761662
1574792.0,1.0,-572987580.0893369
1573174.0,4.0,-585709714.668854
1575873.0,1.0,918139298.2217017
1573174.0,2.0,639316741.0650656
